ROW_NUM,CTPRVN_NM,SIGUNGU_NM,EMD_NM,LVSTCK_NM,FARM_CO
149,경상남도,거제시,일운면,소,2
150,경상남도,거제시,사등면,소,9
151,경상남도,창녕군,성산면,소,54
152,경상북도,울진군,평해읍,소,51
153,경상남도,하동군,고전면,소,73
154,경상북도,문경시,우지동,소,20
155,경상남도,남해군,설천면,소,89
156,경상북도,울진군,온정면,소,21
157,경상북도,문경시,산양면,소,180
158,경상북도,청송군,파천면,소,21
159,경상남도,고성군,마암면,소,102
160,경상남도,사천시,축동면,소,21
161,경상남도,사천시,곤양면,소,157
162,경기도,광주시,초월읍,소,22
163,충청남도,공주시,이인면,닭,47
164,경상남도,통영시,산양읍,소,4
165,경상남도,김해시,봉황동,소,2
166,경상남도,김해시,구산동,소,1
167,인천광역시,남동구,도림동,소,2
168,경상남도,사천시,봉남동,소,3
169,전라남도,완도군,약산면,염소,62
170,경상남도,통영시,한산면,소,5
171,경상남도,하동군,진교면,기러기,1
172,경상북도,영천시,화남면,닭,12
173,대전광역시,동구,직동,닭,1
174,경상남도,남해군,이동면,닭,65
175,강원도,횡성군,청일면,닭,56
176,전라북도,부안군,변산면,관상조,1
177,경상북도,영양군,수비면,염소,9
178,충청남도,서산시,장동,염소,3
179,전라북도,장수군,계북면,돼지,2
180,충청남도,공주시,정안면,사슴,2
181,충청남도,부여군,규암면,염소,12
182,전라남도,보성군,보성읍,닭,18
183,경상북도,상주시,내서면,닭,24
184,경상북도,문경시,산양면,염소,14
185,경상남도,거제시,일운면,닭,18
186,전라남도,함평군,엄다면,염소,13
187,대구광역시,북구,검단동,돼지,2
188,경상북도,칠곡군,동명면,염소,9
189,전라남도,해남군,북일면,염소,2
190,대구광역시,북구,관음동,닭,5
191,경상남도,창녕군,길곡면,염소,3
192,경상북도,봉화군,재산면,닭,30
193,경상남도,거제시,장목면,오리,1
194,서울특별시,서초구,신원동,거위,1
195,서울특별시,서초구,신원동,닭,3
196,경상남도,밀양시,초동면,염소,5
197,전라북도,순창군,유등면,토끼,1
198,전라북도,부안군,주산면,염소,7
199,강원도,정선군,남면,염소,4
200,충청북도,충주시,산척면,닭,32
201,전라남도,순천시,별량면,닭,37
202,경기도,하남시,항동,닭,2
203,전라남도,신안군,지도읍,닭,10
204,충청북도,영동군,용산면,닭,30
205,경상남도,합천군,용주면,닭,60
206,경상북도,의성군,봉양면,닭,32
207,경상북도,봉화군,봉화읍,닭,85
208,경상북도,상주시,낙동면,닭,37
209,경상북도,상주시,개운동,기러기,1
210,강원도,정선군,화암면,닭,40
211,경기도,이천시,신둔면,사슴,6
212,충청남도,서산시,팔봉면,닭,43
213,강원도,춘천시,남면,토끼,2
214,충청북도,괴산군,감물면,꿀벌,6
215,경상남도,밀양시,산내면,닭,23
216,경상남도,합천군,용주면,돼지,1
217,경상북도,안동시,임동면,돼지,5
218,전라남도,보성군,미력면,염소,11
219,경상남도,사천시,곤양면,닭,37
220,경상남도,남해군,고현면,염소,65
221,전라북도,군산시,나포면,염소,3
222,경상남도,양산시,하북면,염소,5
223,강원도,평창군,진부면,닭,44
224,경상남도,함안군,칠원읍,염소,4
225,경상북도,청송군,청송읍,관상조,1
226,경상북도,구미시,장천면,닭,12
227,충청북도,충주시,대소원면,염소,26
228,충청남도,금산군,부리면,말,1
229,경기도,평택시,오성면,닭,10
230,전라북도,완주군,동상면,닭,22
231,충청북도,보은군,탄부면,염소,4
232,충청북도,청주시 청원구,북이면,염소,28
233,경상남도,진주시,가좌동,닭,5
234,전라북도,임실군,삼계면,닭,23
235,전라북도,익산시,낭산면,염소,9
236,경상북도,문경시,문경읍,관상조,3
237,전라남도,여수시,해산동,닭,7
238,전라남도,강진군,강진읍,닭,20
239,강원도,평창군,방림면,닭,37
240,전라남도,강진군,도암면,염소,11
241,충청남도,홍성군,은하면,사슴,2
242,경상남도,거창군,거창읍,닭,69
243,경상북도,영천시,청통면,염소,6
244,전라북도,완주군,고산면,닭,41
245,경상남도,거창군,고제면,닭,50
246,충청남도,아산시,신창면,오리,2
247,경상북도,구미시,옥성면,닭,14
248,충청남도,천안시 동남구,수신면,염소,4
249,전라남도,영광군,군서면,닭,23
250,경상남도,창원시 마산합포구,구산면,염소,9
251,충청북도,충주시,엄정면,토끼,2
252,전라남도,완도군,완도읍,사슴,3
253,전라남도,완도군,완도읍,염소,15
254,경상북도,상주시,화남면,염소,4
255,경상북도,군위군,효령면,돼지,14
256,경상북도,영양군,입암면,염소,9
257,충청남도,예산군,오가면,염소,7
258,경상남도,합천군,가야면,염소,10
259,경상남도,남해군,설천면,닭,51
260,경기도,안성시,보개면,돼지,6
261,경상북도,상주시,외서면,염소,7
262,충청북도,영동군,황간면,염소,10
263,경상남도,거제시,장목면,염소,3
264,대구광역시,수성구,고모동,닭,3
265,강원도,춘천시,퇴계동,닭,1
266,충청북도,청주시 청원구,내수읍,염소,19
267,충청북도,음성군,삼성면,돼지,14
268,경기도,파주시,광탄면,사슴,6
269,울산광역시,울주군,서생면,오리,2
270,전라남도,장성군,동화면,염소,6
271,전라북도,완주군,구이면,사슴,2
272,경상남도,창원시 의창구,소답동,꿀벌,1
273,경상남도,남해군,남해읍,오리,2
274,경상남도,통영시,광도면,염소,14
275,강원도,양구군,남면,거위,1
276,충청남도,부여군,홍산면,염소,9
277,전라남도,여수시,소라면,칠면조,5
278,경상북도,청도군,청도읍,사슴,1
279,경상북도,봉화군,봉화읍,염소,27
280,강원도,원주시,소초면,사슴,2
281,경상북도,봉화군,석포면,닭,11
282,충청북도,제천시,산곡동,염소,7
283,충청남도,서천군,마서면,사슴,5
284,전라남도,고흥군,동강면,염소,13
285,전라북도,김제시,금산면,돼지,5
286,전라남도,보성군,겸백면,염소,13
287,경상남도,고성군,구만면,돼지,3
288,경상북도,구미시,임수동,닭,2
289,전라남도,장성군,장성읍,칠면조,3
290,전라북도,임실군,삼계면,염소,12
291,전라북도,임실군,운암면,오리,3
292,충청북도,충주시,산척면,사슴,1
293,강원도,횡성군,강림면,칠면조,1
294,전라남도,해남군,마산면,거위,1
295,전라남도,진도군,진도읍,오리,1
296,전라남도,함평군,나산면,사슴,2
297,경상남도,함양군,안의면,염소,15
298,경상북도,포항시 북구,기북면,염소,3
299,경기도,양평군,지평면,돼지,1
300,대구광역시,동구,사복동,돼지,2
301,강원도,원주시,호저면,염소,2
302,경상북도,봉화군,상운면,꿩,1
303,경상북도,상주시,화북면,칠면조,1
304,경상북도,포항시 남구,구룡포읍,닭,6
305,경기도,광명시,노온사동,꿀벌,1
306,경상북도,의성군,금성면,염소,5
307,경상남도,합천군,봉산면,돼지,3
308,충청북도,단양군,매포읍,염소,25
309,경기도,연천군,미산면,닭,17
310,전라북도,고창군,해리면,오리,6
311,부산광역시,기장군,장안읍,사슴,3
312,경기도,이천시,율면,돼지,6
313,전라북도,임실군,청웅면,오리,4
314,전라남도,장성군,남면,닭,14
315,충청남도,보령시,주포면,오리,1
316,충청남도,홍성군,금마면,염소,24
317,경상북도,안동시,일직면,염소,10
318,강원도,홍천군,홍천읍,기러기,2
319,전라남도,여수시,주삼동,닭,8
320,경상북도,문경시,마성면,닭,31
321,전라북도,남원시,주천면,닭,17
322,전라북도,익산시,용제동,닭,3
323,강원도,영월군,영월읍,칠면조,2
324,강원도,원주시,문막읍,염소,8
325,전라북도,임실군,오수면,칠면조,2
326,충청북도,단양군,단성면,꿀벌,2
327,충청남도,논산시,성동면,사슴,1
328,전라남도,순천시,상사면,칠면조,1
329,충청남도,논산시,상월면,돼지,5
330,경상북도,예천군,용문면,돼지,1
331,강원도,강릉시,내곡동,기러기,2
332,충청북도,충주시,수안보면,닭,31
333,경상남도,밀양시,상남면,돼지,5
334,충청북도,영동군,영동읍,닭,27
335,경상북도,안동시,예안면,염소,6
336,충청남도,공주시,우성면,거위,2
337,충청북도,괴산군,청안면,염소,23
338,전라북도,김제시,청하면,돼지,3
339,전라북도,익산시,망성면,염소,7
340,충청북도,증평군,도안면,사슴,6
341,전라북도,김제시,청하면,거위,2
342,경상남도,창원시 진해구,청안동,염소,2
343,경상북도,예천군,풍양면,돼지,3
344,충청남도,당진시,합덕읍,염소,7
345,전라남도,강진군,신전면,염소,5
346,충청남도,홍성군,장곡면,사슴,3
347,강원도,화천군,화천읍,오리,5
348,제주특별자치도,제주시,아라이동,염소,1
349,충청남도,예산군,대술면,오리,2
350,전라남도,나주시,다시면,염소,4
351,경상북도,영덕군,강구면,오리,1
352,강원도,철원군,갈말읍,닭,21
353,경상남도,의령군,정곡면,염소,6
354,강원도,홍천군,서면,꿩,2
355,부산광역시,금정구,금성동,염소,3
356,경상북도,김천시,지례면,염소,11
357,전라북도,진안군,백운면,기러기,2
358,제주특별자치도,서귀포시,토평동,꿀벌,12
359,경기도,파주시,법원읍,닭,5
360,전라북도,무주군,부남면,염소,10
361,충청북도,영동군,영동읍,오리,2
362,대전광역시,동구,효평동,거위,1
363,충청북도,청주시 상당구,미원면,사슴,3
364,경상북도,안동시,노하동,닭,3
365,제주특별자치도,제주시,용담이동,꿀벌,8
366,경기도,양주시,광적면,돼지,8
367,충청북도,영동군,용화면,꿀벌,8
368,대전광역시,대덕구,평촌동,염소,2
369,경상북도,영주시,고현동,닭,3
370,전라남도,곡성군,목사동면,기러기,1
371,충청남도,부여군,부여읍,사슴,7
372,전라북도,익산시,여산면,거위,2
373,충청북도,충주시,금가면,사슴,2
374,경상북도,상주시,화서면,닭,18
375,충청북도,충주시,안림동,꿀벌,2
376,전라남도,보성군,득량면,염소,31
377,경기도,평택시,오성면,돼지,5
378,충청남도,예산군,대술면,염소,6
379,충청남도,공주시,신풍면,염소,4
380,충청남도,금산군,남이면,관상조,1
381,경상북도,문경시,농암면,사슴,2
382,대전광역시,서구,용촌동,염소,1
383,강원도,횡성군,우천면,돼지,3
384,경상남도,창녕군,계성면,닭,20
385,경상남도,양산시,주남동,닭,2
386,대구광역시,달성군,구지면,닭,19
387,대구광역시,동구,신용동,칠면조,1
388,충청남도,홍성군,결성면,말,1
389,전라남도,곡성군,옥과면,사슴,1
390,경기도,의왕시,고천동,닭,3
391,충청남도,보령시,천북면,거위,5
392,경기도,김포시,하성면,염소,3
393,충청북도,음성군,대소면,돼지,4
394,전라북도,남원시,산동면,거위,1
395,충청북도,청주시 서원구,현도면,염소,2
396,강원도,홍천군,남면,오리,3
397,경상북도,예천군,효자면,염소,9
398,전라남도,목포시,달동,돼지,1
399,강원도,철원군,김화읍,돼지,5
400,경상북도,포항시 북구,흥해읍,칠면조,2
401,전라남도,곡성군,삼기면,오리,3
402,울산광역시,울주군,두서면,기러기,5
403,경상남도,양산시,상북면,꿀벌,2
404,충청북도,제천시,강제동,닭,2
405,전라북도,익산시,삼기면,칠면조,1
406,전라북도,익산시,삼기면,관상조,2
407,경상북도,문경시,산양면,칠면조,1
408,전라남도,순천시,승주읍,칠면조,1
409,강원도,동해시,구미동,오리,1
410,전라남도,나주시,반남면,오리,9
411,충청남도,천안시 서북구,성환읍,사슴,1
412,전라북도,군산시,성산면,염소,2
413,강원도,홍천군,화촌면,오리,4
414,충청남도,아산시,염치읍,관상조,1
415,경상북도,문경시,흥덕동,닭,7
416,경상북도,봉화군,봉화읍,돼지,17
417,전라북도,김제시,금구면,돼지,6
418,경상남도,창원시 진해구,마천동,닭,1
419,강원도,태백시,황지동,닭,7
420,전라남도,구례군,마산면,기러기,1
421,전라북도,장수군,천천면,칠면조,2
422,경기도,안산시 단원구,대부북동,꿩,3
423,전라북도,완주군,구이면,돼지,4
424,경상남도,거창군,남상면,꿀벌,2
425,경상남도,사천시,신벽동,닭,2
426,제주특별자치도,서귀포시,보목동,꿀벌,2
427,전라남도,영광군,백수읍,염소,3
428,충청북도,충주시,풍동,닭,5
429,전라남도,곡성군,석곡면,돼지,3
430,강원도,동해시,쇄운동,닭,8
431,광주광역시,북구,생용동,닭,1
432,전라북도,김제시,공덕면,칠면조,1
433,충청북도,충주시,주덕읍,사슴,2
434,광주광역시,광산구,등임동,닭,1
435,경상북도,청도군,풍각면,돼지,4
436,경상남도,함안군,법수면,돼지,4
437,경상남도,밀양시,내일동,꿀벌,2
438,제주특별자치도,서귀포시,서홍동,돼지,1
439,경기도,하남시,미사동,닭,1
440,충청남도,공주시,석장리동,염소,2
441,전라북도,순창군,구림면,토끼,1
442,울산광역시,울주군,두서면,타조,2
443,충청북도,괴산군,연풍면,산양,1
444,충청북도,제천시,명지동,닭,5
445,울산광역시,울주군,범서읍,꿀벌,4
446,대전광역시,유성구,장대동,관상조,1
447,제주특별자치도,서귀포시,성산읍,닭,9
448,충청남도,논산시,상월면,칠면조,1
449,전라남도,광양시,광양읍,기러기,1
450,경기도,여주시,점동면,거위,1
451,경기도,포천시,화현면,닭,3
452,충청남도,예산군,덕산면,산양,1
453,충청남도,서천군,마산면,사슴,2
454,제주특별자치도,서귀포시,남원읍,오리,1
455,전라북도,군산시,회현면,꿩,1
456,경상북도,영천시,청통면,관상조,1
457,전라북도,순창군,유등면,칠면조,1
458,충청남도,태안군,소원면,염소,5
459,광주광역시,광산구,소촌동,닭,1
460,충청남도,금산군,진산면,사슴,2
461,충청남도,예산군,덕산면,오리,3
462,경상남도,양산시,동면,사슴,2
463,경상북도,예천군,유천면,오리,1
464,경상북도,봉화군,석포면,거위,1
465,강원도,평창군,대화면,기러기,1
466,경기도,광주시,남한산성면,관상조,1
467,강원도,춘천시,동내면,염소,4
468,경상북도,경주시,서면,거위,2
469,경상북도,포항시 남구,장기면,염소,3
470,강원도,영월군,김삿갓면,염소,5
471,충청북도,증평군,도안면,염소,13
472,경상남도,의령군,화정면,산양,1
473,광주광역시,남구,원산동,닭,2
474,제주특별자치도,서귀포시,안덕면,사슴,1
475,경상북도,경주시,산내면,산양,2
476,경상남도,양산시,하북면,칠면조,1
477,충청남도,예산군,대술면,사슴,3
478,강원도,정선군,화암면,칠면조,1
479,경기도,시흥시,미산동,닭,4
480,경기도,시흥시,미산동,거위,1
481,경상남도,합천군,초계면,사슴,1
482,경상남도,양산시,하북면,기러기,1
483,경기도,포천시,신읍동,닭,3
484,대전광역시,서구,원정동,닭,9
485,충청북도,괴산군,연풍면,염소,7
486,경상북도,군위군,부계면,토끼,1
487,전라남도,영광군,법성면,닭,15
488,강원도,원주시,가현동,닭,4
489,부산광역시,강서구,강동동,오리,3
490,전라남도,구례군,산동면,돼지,3
491,전라북도,진안군,정천면,꿀벌,1
492,전라북도,진안군,정천면,오리,1
493,경상북도,안동시,녹전면,오리,3
494,경상남도,진주시,하촌동,닭,3
495,경상북도,문경시,가은읍,염소,6
496,충청남도,부여군,홍산면,거위,1
497,충청남도,논산시,양촌면,돼지,3
498,충청남도,청양군,비봉면,사슴,2
499,경기도,의왕시,오전동,염소,1
500,경상남도,김해시,이동,닭,1
501,경상북도,구미시,금전동,닭,1
502,전라남도,화순군,화순읍,사슴,1
503,경상북도,예천군,호명면,꿩,1
504,경상남도,거창군,웅양면,돼지,2
505,경상남도,창원시 성산구,토월동,닭,1
506,경상북도,청송군,진보면,염소,2
507,전라북도,순창군,풍산면,오리,2
508,전라북도,완주군,운주면,사슴,2
509,전라북도,순창군,동계면,오리,3
510,전라북도,순창군,적성면,돼지,2
511,경상남도,함양군,휴천면,염소,5
512,전라남도,화순군,춘양면,돼지,4
513,충청북도,충주시,수안보면,타조,1
514,대구광역시,달성군,현풍면,염소,1
515,경상남도,고성군,구만면,거위,2
516,경기도,포천시,신북면,사슴,3
517,전라남도,여수시,돌산읍,면양,1
518,전라남도,여수시,화양면,돼지,4
519,전라북도,고창군,대산면,돼지,2
520,충청남도,홍성군,장곡면,기러기,2
521,경기도,화성시,마도면,개,2
522,경상남도,거창군,주상면,칠면조,2
523,제주특별자치도,서귀포시,하원동,돼지,1
524,대구광역시,북구,태전동,닭,1
525,강원도,삼척시,신기면,꿀벌,1
526,강원도,강릉시,대전동,닭,2
527,전라북도,익산시,춘포면,염소,4
528,경상남도,양산시,평산동,사슴,2
529,전라남도,장흥군,장흥읍,꿀벌,1
530,경상남도,합천군,용주면,염소,12
531,부산광역시,기장군,일광면,기러기,2
532,경상남도,진주시,초전동,닭,3
533,인천광역시,강화군,송해면,꿩,1
534,경상남도,양산시,다방동,염소,2
535,인천광역시,강화군,송해면,칠면조,1
536,강원도,원주시,부론면,돼지,5
537,경상북도,문경시,농암면,돼지,2
538,전라북도,완주군,고산면,꿩,1
539,대전광역시,유성구,용계동,거위,2
540,대전광역시,유성구,용계동,꿩,1
541,경기도,양평군,단월면,토끼,1
542,경상남도,하동군,양보면,기러기,1
543,경기도,평택시,용이동,관상조,1
544,전라북도,김제시,명덕동,닭,1
545,전라남도,장흥군,회진면,염소,4
546,전라북도,완주군,용진면,닭,2
547,경기도,화성시,매송면,사슴,2
548,충청북도,충주시,달천동,염소,1
549,경기도,양주시,은현면,사슴,1
550,경상북도,봉화군,석포면,염소,2
551,경상남도,진주시,수곡면,염소,6
552,충청남도,천안시 서북구,성환읍,말,2
553,충청남도,예산군,대흥면,염소,4
554,경상남도,김해시,관동동,닭,4
555,전라남도,고흥군,고흥읍,염소,5
556,경상남도,거창군,가조면,기러기,2
557,충청북도,진천군,초평면,거위,1
558,충청남도,공주시,이인면,사슴,7
559,전라북도,정읍시,망제동,염소,3
560,대구광역시,수성구,욱수동,염소,1
561,충청남도,예산군,대술면,말,2
562,경상남도,거창군,남상면,오리,2
563,광주광역시,북구,오룡동,염소,1
564,충청남도,서산시,운산면,당나귀,1
565,전라북도,정읍시,상동,닭,1
566,경상북도,포항시 북구,기북면,칠면조,1
567,전라남도,완도군,신지면,칠면조,3
568,충청북도,제천시,봉양읍,거위,2
569,강원도,평창군,용평면,돼지,1
570,경상남도,진주시,장재동,돼지,1
571,전라북도,전주시 완산구,색장동,닭,3
572,경기도,파주시,광탄면,꿩,1
573,강원도,강릉시,옥계면,타조,1
574,광주광역시,광산구,장수동,소,1
575,전라북도,정읍시,교암동,염소,4
576,경기도,시흥시,과림동,오리,1
577,경상북도,청도군,풍각면,기러기,1
578,강원도,춘천시,동면,관상조,2
579,경상남도,거제시,동부면,오리,1
580,경상남도,합천군,쌍백면,돼지,3
581,경상남도,고성군,삼산면,사슴,2
582,경기도,이천시,율면,사슴,1
583,경상남도,하동군,북천면,사슴,1
584,전라북도,김제시,용지면,타조,1
585,경상북도,울진군,근남면,돼지,1
586,전라남도,영암군,서호면,염소,1
587,전라남도,보성군,미력면,돼지,2
588,경기도,양주시,고읍동,돼지,1
589,경기도,고양시 일산서구,구산동,개,1
590,충청남도,홍성군,구항면,칠면조,2
591,강원도,고성군,간성읍,돼지,2
592,인천광역시,옹진군,영흥면,닭,3
593,경상남도,창녕군,부곡면,오리,1
594,충청남도,천안시 동남구,광덕면,산양,1
595,경상북도,영주시,문수면,꿀벌,1
596,전라남도,해남군,삼산면,사슴,2
597,경상북도,영천시,봉동,소,1
598,충청북도,제천시,청전동,소,2
599,강원도,삼척시,마평동,소,2
600,충청북도,청주시 흥덕구,정봉동,소,2
601,경기도,평택시,장안동,소,3
602,전라북도,남원시,식정동,소,2
603,경상북도,구미시,금전동,소,2
604,경상북도,상주시,가장동,소,6
605,전라남도,영암군,신북면,사슴,2
606,전라남도,장흥군,안양면,염소,3
607,경기도,안성시,중리동,닭,1
608,경상남도,거창군,신원면,거위,1
609,전라북도,전주시 덕진구,덕진동1가,관상조,1
610,전라남도,나주시,진포동,닭,2
611,경상남도,산청군,신등면,사슴,3
612,충청남도,예산군,신양면,기러기,1
613,경상북도,예천군,유천면,칠면조,1
614,경상북도,예천군,효자면,돼지,1
615,전라북도,익산시,용안면,기러기,1
616,전라북도,익산시,금마면,돼지,4
617,경상남도,창원시 진해구,북부동,닭,3
618,경기도,안성시,공도읍,산양,1
619,경상북도,경주시,외동읍,거위,3
620,전라남도,완도군,완도읍,오리,1
621,경기도,시흥시,신천동,관상조,1
622,울산광역시,북구,중산동,메추리,1
623,경상남도,고성군,거류면,거위,1
624,충청북도,청주시 청원구,북이면,말,1
625,충청남도,당진시,우두동,돼지,1
626,전라남도,완도군,청산면,기러기,1
627,전라북도,고창군,공음면,돼지,4
628,충청남도,서산시,지곡면,오리,2
629,강원도,태백시,통동,닭,6
630,충청북도,단양군,대강면,꿩,1
631,충청남도,서산시,성연면,돼지,2
632,세종특별자치시,,전의면,개,1
633,충청북도,청주시 흥덕구,원평동,염소,2
634,경기도,포천시,창수면,개,1
635,경상남도,합천군,묘산면,거위,1
636,경상북도,영천시,대전동,닭,2
637,충청남도,공주시,사곡면,기러기,1
638,울산광역시,울주군,두서면,꿀벌,1
639,전라남도,장성군,동화면,꿀벌,1
640,경상북도,예천군,예천읍,기러기,1
641,경기도,광주시,남종면,오리,1
642,제주특별자치도,제주시,노형동,칠면조,1
643,경상남도,거제시,삼거동,사슴,1
644,인천광역시,계양구,갈현동,돼지,1
645,강원도,강릉시,사천면,칠면조,1
646,경기도,이천시,율면,메추리,1
647,강원도,화천군,하남면,오리,1
648,경상남도,합천군,삼가면,기러기,1
649,경기도,가평군,청평면,돼지,1
650,경상남도,함안군,산인면,꿀벌,1
651,제주특별자치도,제주시,삼양일동,닭,1
652,경상남도,의령군,가례면,꿀벌,3
653,경상남도,의령군,가례면,기러기,1
654,제주특별자치도,제주시,용강동,돼지,1
655,충청남도,공주시,탄천면,거위,1
656,충청남도,공주시,탄천면,칠면조,1
657,전라북도,무주군,부남면,꿀벌,2
658,경기도,광주시,태전동,꿀벌,1
659,전라북도,김제시,백산면,오리,1
660,충청북도,충주시,호암동,꿀벌,2
661,충청북도,음성군,맹동면,사슴,1
662,충청북도,보은군,수한면,칠면조,1
663,대구광역시,수성구,사월동,소,1
664,광주광역시,광산구,사호동,소,2
665,대구광역시,북구,금호동,소,1
666,경기도,구리시,사노동,소,1
